2455295.81298 17.683 0.019 4.19 476.0
2455295.85088 17.687 0.017 3.53 487.0
2455295.88972 17.708 0.020 4.26 507.0
2455296.77747 17.716 0.021 4.46 499.0
2455296.81499 17.714 0.018 4.04 492.0
2455296.85240 17.655 0.017 3.59 482.0
2455296.89087 17.651 0.017 3.80 484.0
2455297.77338 17.681 0.020 4.84 518.0
2455297.81144 17.706 0.020 4.44 500.0
2455297.84931 17.689 0.017 3.84 474.0
2455297.88800 17.655 0.018 4.77 501.0
2455298.77428 17.663 0.020 4.85 530.0
2455298.81220 17.756 0.020 4.16 519.0
2455298.84997 17.708 0.020 4.10 513.0
2455298.88952 17.708 0.017 3.93 499.0
2455298.92302 17.679 0.020 3.87 800.0
2455299.75899 17.682 0.016 4.74 468.0
2455299.83442 17.742 0.016 4.49 448.0
2455299.87276 17.728 0.018 4.50 488.0
2455299.91352 17.689 0.018 4.85 548.0
2455300.86771 17.655 0.017 3.75 519.0
2455300.90848 17.694 0.020 4.41 559.0
2455301.76353 17.688 0.021 5.06 520.0
2455301.80103 17.720 0.022 5.00 520.0
2455301.83849 17.643 0.023 5.47 539.0
2455301.87720 17.680 0.021 4.93 538.0
2455301.91698 17.717 0.033 7.15 606.0
2455303.92484 17.713 0.025 5.10 578.0
2455304.76317 17.638 0.022 4.87 633.0
2455306.69682 17.600 0.022 5.18 560.0
2455306.75956 17.650 0.019 4.43 508.0
2455306.79853 17.700 0.017 3.81 506.0
2455306.86215 17.698 0.018 4.01 511.0
2455306.90174 17.696 0.017 3.61 530.0
2455307.68653 17.687 0.023 5.21 577.0
2455307.74961 17.704 0.022 4.85 579.0
2455307.81109 17.691 0.017 3.64 571.0
2455307.84957 17.633 0.017 3.62 600.0
2455307.89046 17.682 0.018 3.95 591.0
2455307.92789 17.681 0.024 4.68 795.0
2455308.73973 17.708 0.025 5.40 582.0
2455308.80123 17.648 0.018 3.95 519.0
2455308.83870 17.675 0.018 3.85 513.0
2455308.88659 17.656 0.018 4.44 521.0
2455309.74043 17.661 0.020 4.55 551.0
2455309.81092 17.653 0.020 4.58 518.0
2455309.85465 17.713 0.020 4.18 531.0
2455309.89362 17.654 0.019 4.12 543.0
2455309.93089 17.696 0.023 4.20 1071.0
2455310.72128 17.726 0.024 4.94 624.0
2455310.77757 17.708 0.024 5.10 565.0
2455310.85893 17.641 0.013 3.72 506.0
2455310.89089 17.664 0.018 3.77 542.0
2455310.92835 17.655 0.019 4.27 799.0
2455311.82142 17.623 0.020 4.35 594.0
2455311.87745 17.716 0.022 4.37 589.0
2455311.92227 17.634 0.020 4.15 656.0
2455312.74745 17.614 0.023 4.96 704.0
2455312.78983 17.648 0.024 5.02 688.0
2455312.82786 17.662 0.026 5.43 700.0
2455312.87211 17.637 0.023 4.86 783.0
2455312.91171 17.664 0.023 5.18 616.0
2455313.78387 17.658 0.030 6.10 812.0
2455313.82273 17.643 0.027 5.58 764.0
2455313.86240 17.711 0.031 6.03 851.0
2455313.90063 17.658 0.023 4.45 882.0
2455314.67151 17.641 0.030 5.58 1243.0
2455314.71197 17.705 0.031 5.57 1073.0
2455314.75125 17.660 0.025 4.73 993.0
2455314.79118 17.720 0.029 5.35 933.0
2455314.84872 17.649 0.025 4.93 963.0
2455314.88615 17.696 0.024 4.53 961.0
2455314.92359 17.658 0.024 4.63 1036.0
2455315.68901 17.616 0.030 5.64 1182.0
2455315.73693 17.631 0.031 5.84 1063.0
2455315.77447 17.635 0.029 5.52 1008.0
2455315.81220 17.607 0.023 4.86 1013.0
2455315.85238 17.578 0.026 5.40 1102.0
2455315.89451 17.643 0.027 5.08 1097.0
2455316.68015 17.684 0.035 6.06 1215.0
2455316.72730 17.654 0.029 5.32 1039.0
2455316.77034 17.645 0.034 6.45 1022.0
2455316.80769 17.597 0.034 6.63 1035.0
2455316.86456 17.672 0.034 5.79 1192.0
2455319.82469 17.776 0.041 4.11 3703.0
2455319.86767 17.660 0.035 3.97 3514.0
